1,Edric KANE,Danish,133,Dance
2,Eddie BOOTH,Ghanaian,115,Drawing
3,Felix DANIEL,Malaysian,83,Drama
4,Fletcher MCINTOSH,Somali,39,Hand Ball
5,Blair HUFF,Nicaraguan,66,Walk the dog
6,Enoch SILVA,Dutch,68,Kite Surfing
7,Fletcher BASS,German,116,Kite Surfing
8,Alden PARSONS,Chinese,141,Body Building
9,Floyd PEREZ,Ethiopian,123,Skateboarding
10,Dorian WHITNEY,Slovak,41,Whittling
11,Elton WIGGINS,Vietnamese,7,Digital Arts
12,Blaine BRANCH,Finnish,121,Tennis
13,Clyde SEXTON,Bangladeshi,164,Walk the dog
14,Fitzgerald ZIMMERMAN,Turkish,19,Graffiti
15,Fenton CARDENAS,Togolese,24,Backpacking
16,Farley DOMINGUEZ,Cuban,136,Reading
17,Bernard POOLE,Zimbabwean,0,Roller Skating
18,Daley LYONS,Tanzanian,26,Coloring
19,Fairfax HOOVER,Dominican,131,Archery
20,Bevis PORTER,Kenyan,94,Creative writing
21,Edgar NORRIS,Macedonian,86,Stone skipping
22,Errol MALDONADO,Nigerian,64,Sudoku
23,Cecil JENSEN,Danish,133,Skydiving
24,Aaron MCKAY,Mozambican,71,Coffee roasting
25,Egerton POTTS,South Korean,37,Hand Ball
26,Falkner PATTON,Malian,81,Skydiving
27,Connell YU,Kazakh,95,Backpacking
28,Forrest BENJAMIN,Cambodian,147,Astronomy
29,Ferris HEBERT,Czech,134,Cryptography
30,Ely ROWE,Congolese,139,Body Building
31,David WARE,Burundian,148,Walk the dog
32,Ethen HOUSTON,Irish,100,Cooking
33,Brent STEWART,Afghan,176,Skydiving
34,Cadman HINTON,Tajik or Tadjik,27,Walk the dog
35,Carl CARRILLO,German,116,Walk the cat
36,Forrest POTTER,Costa Rican,138,Walk the dog
37,Forbes YU,Surinamese,33,Astronomy
38,Freeman WILLIAMS,Tobagonian,21,Gardening
39,Fitzgerald OWENS,Slovene or Slovenian,40,Graffiti
40,Forrest VILLEGAS,Seychellois,44,Kayaking
41,Bartholomew SOTO,Guatemalan,112,Sudoku
42,Brooke GAINES,Syrian,29,Archery
43,Evan DOYLE,Malaysian,83,Gardening
44,Alexander BALDWIN,Estonian,124,Cryptography
45,Angus HARPER,Portuguese,53,Astronomy
46,Farley ADAMS,Somali,39,Backpacking
47,Davin WILLIS,Tajik or Tadjik,27,Coffee roasting
48,Farrell CASEY,Bahraini,165,Walk the dog
49,Erskine ESPARZA,Eritrean,125,Hand Ball
50,Abraham HOLT,Syrian,29,Backpacking
51,Farley COLEMAN,Western Samoan,5,Hand Ball
52,Brock RILEY,Somali,39,Knife making
53,Cecil HEATH,Swedish,31,Book restoration
54,Angus NORTON,English,126,Creative writing
55,Bruno RAMOS,Zimbabwean,0,Jigsaw puzzles
56,Dylan CALDERON,Dominican,130,Kite Surfing
57,Albion FREY,Armenian,170,Motor Sports
58,Fletcher KIRBY,Mozambican,71,Backpacking
59,Forrest FARLEY,South African,38,Body Building
60,Emmanuel HANEY,Western Samoan,5,Creative writing
61,Forrest KNIGHT,Spanish,36,Reading
62,Bond SWANSON,Canadian,145,Hunting
63,Derwin CAMPBELL,Moroccan,72,Fashion
64,Egerton FREDERICK,Guyanese,110,Drama
65,Doyle FITZPATRICK,Rwandan,49,Hiking
66,Atwood WATERS,Trinidadian,23,Video Gaming
67,Farley WALLS,German,116,Electronics
68,Erskine BRUCE,Ecuadorean,129,Cooking
69,Chalmers NOVAK,Fijian,122,Driving
70,Everett HOWELL,Danish,133,Tai chi
71,Claude MACIAS,South Korean,37,Skydiving
72,Alton NICHOLS,Somali,39,Video Gaming
73,Errol WEISS,Gambian,118,Kite Surfing
74,Dillon OWEN,New Zealand,67,Driving
75,Egil LITTLE,Western Samoan,5,Drama
76,Burton BRIGGS,Malawian,84,Kayaking
77,Erwin CHRISTIAN,Bahraini,165,Coloring
78,Farley KELLEY,Norwegian,62,Kayaking
79,Elmer ALVARADO,Australian,169,Reading
80,Fenton HESTER,Czech,134,Sudoku
81,Ernest MCKAY,Ethiopian,123,Creative writing
