1,Elvis ROTH,Uruguayan,11,Knife making
2,Derek SWEENEY,Dutch,68,Coloring
3,Francis NIXON,Peruvian,56,Reading
4,Benton HAYDEN,Somali,39,Whittling
5,Ferris BROWNING,Tobagan,22,Stone skipping
6,Art BENNETT,Zimbabwean,0,Drawing
7,Abner CANTRELL,Kuwaiti,93,Coffee roasting
8,Farrell GROSS,Djiboutian,132,3D printing
9,Erwin STEPHENSON,North Korean,63,Cycling
10,Donald MACIAS,Swiss,30,Air Sport
11,Chester MATHIS,Mauritanian,79,Reading
12,Conan ROBERTS,Sri Lankan,35,Astronomy
13,Brendon MURRAY,Senegalese,46,3D printing
14,Daniel BARKER,Chadian,143,Hand Ball
15,Arthur WARREN,Scottish,47,Fashion
16,Conrad CAMPOS,Greek,114,Coloring
17,Angus SIMPSON,Guyanese,110,Kayaking
18,Farrell MOYER,Peruvian,56,Sudoku
19,Ferris RASMUSSEN,English,126,Coffee roasting
20,Chandler MCCONNELL,Dominican,130,Roller Skating
21,Fleming HUNTER,Bahraini,165,Walk the cat
22,Denley BECK,Slovene or Slovenian,40,Dance
23,Ferdinand JORDAN,Serb or Serbian,45,Hunting
24,Basil BRIGGS,Bangladeshi,164,Jigsaw puzzles
25,Chapman MCCLURE,Colombian,140,Coloring
26,Benedict AUSTIN,Georgian,117,Tai chi
27,Eric LLOYD,Omani,61,Hiking
28,Alston GENTRY,Panamanian,59,Motor Sports
29,Aaron MCDANIEL,Yemeni,4,Archery
30,Bartholomew BONILLA,Portuguese,53,3D printing
31,Errol SANTANA,Mozambican,71,Digital Arts
32,Crosby MORROW,Somali,39,Kite Flying
33,Emerson STARK,British,153,Kayaking
34,Edric DOUGLAS,Singaporean,42,Skydiving
35,Declan MURPHY,Kenyan,94,Water Sports
36,Dean WILLIAMS,Cuban,136,Coffee roasting
37,Dominic DOUGLAS,Seychellois,44,Surfing
38,Frederick AYERS,Tobagonian,21,Gardening
39,Eliot CARPENTER,Tobagan,22,Astronomy
40,Carl MONTES,Mexican,77,Digital Arts
41,Dylan CORTEZ,Bolivian,157,Fashion
